PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,Cabin_Known,Title
122,0,3,"Moore, Mr. Leonard Charles",Male,25.0,0,0,A4. 54510,8.05,Unknown,S,0,Mr
123,0,2,"Nasser, Mr. Nicholas",Male,32.5,1,0,237736,30.07,Unknown,C,0,Mr
124,1,2,"Webber, Miss. Susan",Female,32.5,0,0,27267,13.0,E101,S,1,Miss
125,0,1,"White, Mr. Percival Wayland",Male,54.0,0,1,35281,65.63,D26,S,1,Mr
126,1,3,"Nicola-Yarred, Master. Elias",Male,12.0,1,0,2651,11.24,Unknown,C,0,Master
127,0,3,"McMahon, Mr. Martin",Male,25.0,0,0,370372,7.75,Unknown,Q,0,Mr
128,1,3,"Madsen, Mr. Fridtjof Arne",Male,24.0,0,0,C 17369,7.14,Unknown,S,0,Mr
129,1,3,"Peter, Miss. Anna",Female,21.5,1,1,2668,22.36,F E69,C,1,Miss
130,0,3,"Ekstrom, Mr. Johan",Male,45.0,0,0,347061,6.98,Unknown,S,0,Mr
131,0,3,"Drazenoic, Mr. Jozef",Male,33.0,0,0,349241,7.9,Unknown,C,0,Mr
132,0,3,"Coelho, Mr. Domingos Fernandeo",Male,20.0,0,0,SOTON/O.Q. 3101307,7.05,Unknown,S,0,Mr
133,0,3,"Robins, Mrs. Alexander A (Grace Charity Laury)",Female,47.0,1,0,A/5. 3337,14.5,Unknown,S,0,Mrs
134,1,2,"Weisz, Mrs. Leopold (Mathilde Francoise Pede)",Female,29.0,1,0,228414,26.0,Unknown,S,0,Mrs
135,0,2,"Sobey, Mr. Samuel James Hayden",Male,25.0,0,0,C.A. 29178,13.0,Unknown,S,0,Mr
136,0,2,"Richard, Mr. Emile",Male,23.0,0,0,SC/PARIS 2133,15.05,Unknown,C,0,Mr
137,1,1,"Newsom, Miss. Helen Monypeny",Female,19.0,0,2,11752,26.28,D47,S,1,Miss
138,0,1,"Futrelle, Mr. Jacques Heath",Male,37.0,1,0,113803,53.1,C123,S,1,Mr
139,0,3,"Osen, Mr. Olaf Elon",Male,16.0,0,0,7534,9.22,Unknown,S,0,Mr
140,0,1,"Giglio, Mr. Victor",Male,24.0,0,0,PC 17593,65.63,B86,C,1,Mr
141,0,3,"Boulos, Mrs. Joseph (Sultana)",Female,21.5,0,2,2678,15.25,Unknown,C,0,Mrs
142,1,3,"Nysten, Miss. Anna Sofia",Female,22.0,0,0,347081,7.75,Unknown,S,0,Miss
143,1,3,"Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)",Female,24.0,1,0,STON/O2. 3101279,15.85,Unknown,S,0,Mrs
144,0,3,"Burke, Mr. Jeremiah",Male,19.0,0,0,365222,6.75,Unknown,Q,0,Mr
145,0,2,"Andrew, Mr. Edgardo Samuel",Male,18.0,0,0,231945,11.5,Unknown,S,0,Mr
146,0,2,"Nicholls, Mr. Joseph Charles",Male,19.0,1,1,C.A. 33112,36.75,Unknown,S,0,Mr
147,1,3,"Andersson, Mr. August Edvard (""Wennerstrom"")",Male,27.0,0,0,350043,7.8,Unknown,S,0,Mr
148,0,3,"Ford, Miss. Robina Maggie ""Ruby""",Female,9.0,2,2,W./C. 6608,34.38,Unknown,S,0,Miss
149,0,2,"Navratil, Mr. Michel (""Louis M Hoffman"")",Male,36.5,0,2,230080,26.0,F2,S,1,Mr
150,0,2,"Byles, Rev. Thomas Roussel Davids",Male,42.0,0,0,244310,13.0,Unknown,S,0,Rare
151,0,2,"Bateman, Rev. Robert James",Male,51.0,0,0,S.O.P. 1166,12.52,Unknown,S,0,Rare
152,1,1,"Pears, Mrs. Thomas (Edith Wearne)",Female,22.0,1,0,113776,65.63,C2,S,1,Mrs
153,0,3,"Meo, Mr. Alfonzo",Male,55.5,0,0,A.5. 11206,8.05,Unknown,S,0,Mr
154,0,3,"van Billiard, Mr. Austin Blyler",Male,40.5,0,2,A/5. 851,14.5,Unknown,S,0,Mr
155,0,3,"Olsen, Mr. Ole Martin",Male,25.0,0,0,Fa 265302,7.31,Unknown,S,0,Mr
156,0,1,"Williams, Mr. Charles Duane",Male,51.0,0,1,PC 17597,61.38,Unknown,C,0,Mr
157,1,3,"Gilnagh, Miss. Katherine ""Katie""",Female,16.0,0,0,35851,7.73,Unknown,Q,0,Miss
158,0,3,"Corn, Mr. Harry",Male,30.0,0,0,SOTON/OQ 392090,8.05,Unknown,S,0,Mr
159,0,3,"Smiljanic, Mr. Mile",Male,25.0,0,0,315037,8.66,Unknown,S,0,Mr
160,0,3,"Sage, Master. Thomas Henry",Male,25.0,8,2,CA. 2343,65.63,Unknown,S,0,Master
161,0,3,"Cribb, Mr. John Hatfield",Male,44.0,0,1,371362,16.1,Unknown,S,0,Mr
162,1,2,"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)",Female,40.0,0,0,C.A. 33595,15.75,Unknown,S,0,Mrs
163,0,3,"Bengtsson, Mr. John Viktor",Male,26.0,0,0,347068,7.78,Unknown,S,0,Mr
164,0,3,"Calic, Mr. Jovo",Male,17.0,0,0,315093,8.66,Unknown,S,0,Mr
165,0,3,"Panula, Master. Eino Viljami",Male,1.0,4,1,3101295,39.69,Unknown,S,0,Master
166,1,3,"Goldsmith, Master. Frank John William ""Frankie""",Male,9.0,0,2,363291,20.52,Unknown,S,0,Master
167,1,1,"Chibnall, Mrs. (Edith Martha Bowerman)",Female,35.0,0,1,113505,55.0,E33,S,1,Mrs
168,0,3,"Skoog, Mrs. William (Anna Bernhardina Karlsson)",Female,45.0,1,4,347088,27.9,Unknown,S,0,Mrs
169,0,1,"Baumann, Mr. John D",Male,40.0,0,0,PC 17318,25.92,Unknown,S,0,Mr
170,0,3,"Ling, Mr. Lee",Male,28.0,0,0,1601,56.5,Unknown,S,0,Mr
171,0,1,"Van der hoef, Mr. Wyckoff",Male,61.0,0,0,111240,33.5,B19,S,1,Mr
172,0,3,"Rice, Master. Arthur",Male,4.0,4,1,382652,29.12,Unknown,Q,0,Master
173,1,3,"Johnson, Miss. Eleanor Ileen",Female,1.0,1,1,347742,11.13,Unknown,S,0,Miss
174,0,3,"Sivola, Mr. Antti Wilhelm",Male,21.0,0,0,STON/O 2. 3101280,7.92,Unknown,S,0,Mr
175,0,1,"Smith, Mr. James Clinch",Male,56.0,0,0,17764,30.7,A7,C,1,Mr
176,0,3,"Klasen, Mr. Klas Albin",Male,18.0,1,1,350404,7.85,Unknown,S,0,Mr
177,0,3,"Lefebre, Master. Henry Forbes",Male,25.0,3,1,4133,25.47,Unknown,S,0,Master
178,0,1,"Isham, Miss. Ann Elizabeth",Female,50.0,0,0,PC 17595,28.71,C49,C,1,Miss
179,0,2,"Hale, Mr. Reginald",Male,30.0,0,0,250653,13.0,Unknown,S,0,Mr
180,0,3,"Leonard, Mr. Lionel",Male,36.0,0,0,LINE,0.0,Unknown,S,0,Mr
181,0,3,"Sage, Miss. Constance Gladys",Female,21.5,8,2,CA. 2343,65.63,Unknown,S,0,Miss
182,0,2,"Pernot, Mr. Rene",Male,30.0,0,0,SC/PARIS 2131,15.05,Unknown,C,0,Mr
183,0,3,"Asplund, Master. Clarence Gustaf Hugo",Male,9.0,4,2,347077,31.39,Unknown,S,0,Master
184,1,2,"Becker, Master. Richard F",Male,1.0,2,1,230136,39.0,F4,S,1,Master
185,1,3,"Kink-Heilmann, Miss. Luise Gretchen",Female,4.0,0,2,315153,22.02,Unknown,S,0,Miss
186,0,1,"Rood, Mr. Hugh Roscoe",Male,40.0,0,0,113767,50.0,A32,S,1,Mr
187,1,3,"O'Brien, Mrs. Thomas (Johanna ""Hannah"" Godfrey)",Female,21.5,1,0,370365,15.5,Unknown,Q,0,Mrs
188,1,1,"Romaine, Mr. Charles Hallace (""Mr C Rolmane"")",Male,45.0,0,0,111428,26.55,Unknown,S,0,Mr
189,0,3,"Bourke, Mr. John",Male,40.0,1,1,364849,15.5,Unknown,Q,0,Mr
190,0,3,"Turcin, Mr. Stjepan",Male,36.0,0,0,349247,7.9,Unknown,S,0,Mr
191,1,2,"Pinsky, Mrs. (Rosa)",Female,32.0,0,0,234604,13.0,Unknown,S,0,Mrs
192,0,2,"Carbines, Mr. William",Male,19.0,0,0,28424,13.0,Unknown,S,0,Mr
193,1,3,"Andersen-Jensen, Miss. Carla Christine Nielsine",Female,19.0,1,0,350046,7.85,Unknown,S,0,Miss
194,1,2,"Navratil, Master. Michel M",Male,3.0,1,1,230080,26.0,F2,S,1,Master
195,1,1,"Brown, Mrs. James Joseph (Margaret Tobin)",Female,44.0,0,0,PC 17610,27.72,B4,C,1,Mrs
196,1,1,"Lurette, Miss. Elise",Female,58.0,0,0,PC 17569,65.63,B80,C,1,Miss
197,0,3,"Mernagh, Mr. Robert",Male,25.0,0,0,368703,7.75,Unknown,Q,0,Mr
198,0,3,"Olsen, Mr. Karl Siegwart Andreas",Male,42.0,0,1,4579,8.4,Unknown,S,0,Mr
199,1,3,"Madigan, Miss. Margaret ""Maggie""",Female,21.5,0,0,370370,7.75,Unknown,Q,0,Miss
200,0,2,"Yrois, Miss. Henriette (""Mrs Harbeck"")",Female,24.0,0,0,248747,13.0,Unknown,S,0,Miss
201,0,3,"Vande Walle, Mr. Nestor Cyriel",Male,28.0,0,0,345770,9.5,Unknown,S,0,Mr
202,0,3,"Sage, Mr. Frederick",Male,25.0,8,2,CA. 2343,65.63,Unknown,S,0,Mr
203,0,3,"Johanson, Mr. Jakob Alfred",Male,34.0,0,0,3101264,6.5,Unknown,S,0,Mr
204,0,3,"Youseff, Mr. Gerious",Male,45.5,0,0,2628,7.22,Unknown,C,0,Mr
205,1,3,"Cohen, Mr. Gurshon ""Gus""",Male,18.0,0,0,A/5 3540,8.05,Unknown,S,0,Mr
206,0,3,"Strom, Miss. Telma Matilda",Female,2.0,0,1,347054,10.46,G6,S,1,Miss
207,0,3,"Backstrom, Mr. Karl Alfred",Male,32.0,1,0,3101278,15.85,Unknown,S,0,Mr
208,1,3,"Albimona, Mr. Nassef Cassem",Male,26.0,0,0,2699,18.79,Unknown,C,0,Mr
209,1,3,"Carr, Miss. Helen ""Ellen""",Female,16.0,0,0,367231,7.75,Unknown,Q,0,Miss
210,1,1,"Blank, Mr. Henry",Male,40.0,0,0,112277,31.0,A31,C,1,Mr
211,0,3,"Ali, Mr. Ahmed",Male,24.0,0,0,SOTON/O.Q. 3101311,7.05,Unknown,S,0,Mr
212,1,2,"Cameron, Miss. Clear Annie",Female,35.0,0,0,F.C.C. 13528,21.0,Unknown,S,0,Miss
213,0,3,"Perkin, Mr. John Henry",Male,22.0,0,0,A/5 21174,7.25,Unknown,S,0,Mr
214,0,2,"Givard, Mr. Hans Kristensen",Male,30.0,0,0,250646,13.0,Unknown,S,0,Mr
215,0,3,"Kiernan, Mr. Philip",Male,25.0,1,0,367229,7.75,Unknown,Q,0,Mr
216,1,1,"Newell, Miss. Madeleine",Female,31.0,1,0,35273,65.63,D36,C,1,Miss
217,1,3,"Honkanen, Miss. Eliina",Female,27.0,0,0,STON/O2. 3101283,7.92,Unknown,S,0,Miss
218,0,2,"Jacobsohn, Mr. Sidney Samuel",Male,42.0,1,0,243847,27.0,Unknown,S,0,Mr
219,1,1,"Bazzani, Miss. Albina",Female,32.0,0,0,11813,65.63,D15,C,1,Miss
220,0,2,"Harris, Mr. Walter",Male,30.0,0,0,W/C 14208,10.5,Unknown,S,0,Mr
221,1,3,"Sunderland, Mr. Victor Francis",Male,16.0,0,0,SOTON/OQ 392089,8.05,Unknown,S,0,Mr
222,0,2,"Bracken, Mr. James H",Male,27.0,0,0,220367,13.0,Unknown,S,0,Mr
223,0,3,"Green, Mr. George Henry",Male,51.0,0,0,21440,8.05,Unknown,S,0,Mr
224,0,3,"Nenkoff, Mr. Christo",Male,25.0,0,0,349234,7.9,Unknown,S,0,Mr
225,1,1,"Hoyt, Mr. Frederick Maxfield",Male,38.0,1,0,19943,65.63,C93,S,1,Mr
226,0,3,"Berglund, Mr. Karl Ivar Sven",Male,22.0,0,0,PP 4348,9.35,Unknown,S,0,Mr
227,1,2,"Mellors, Mr. William John",Male,19.0,0,0,SW/PP 751,10.5,Unknown,S,0,Mr
228,0,3,"Lovell, Mr. John Hall (""Henry"")",Male,20.5,0,0,A/5 21173,7.25,Unknown,S,0,Mr
229,0,2,"Fahlstrom, Mr. Arne Jonas",Male,18.0,0,0,236171,13.0,Unknown,S,0,Mr
230,0,3,"Lefebre, Miss. Mathilde",Female,21.5,3,1,4133,25.47,Unknown,S,0,Miss
231,1,1,"Harris, Mrs. Henry Birkhardt (Irene Wallach)",Female,35.0,1,0,36973,65.63,C83,S,1,Mrs
232,0,3,"Larsson, Mr. Bengt Edvin",Male,29.0,0,0,347067,7.78,Unknown,S,0,Mr
233,0,2,"Sjostedt, Mr. Ernst Adolf",Male,59.0,0,0,237442,13.5,Unknown,S,0,Mr
234,1,3,"Asplund, Miss. Lillian Gertrud",Female,5.0,4,2,347077,31.39,Unknown,S,0,Miss
235,0,2,"Leyson, Mr. Robert William Norman",Male,24.0,0,0,C.A. 29566,10.5,Unknown,S,0,Mr
236,0,3,"Harknett, Miss. Alice Phoebe",Female,21.5,0,0,W./C. 6609,7.55,Unknown,S,0,Miss
237,0,2,"Hold, Mr. Stephen",Male,44.0,1,0,26707,26.0,Unknown,S,0,Mr
238,1,2,"Collyer, Miss. Marjorie ""Lottie""",Female,8.0,0,2,C.A. 31921,26.25,Unknown,S,0,Miss
239,0,2,"Pengelly, Mr. Frederick William",Male,19.0,0,0,28665,10.5,Unknown,S,0,Mr
240,0,2,"Hunt, Mr. George Henry",Male,33.0,0,0,SCO/W 1585,12.28,Unknown,S,0,Mr
241,0,3,"Zabour, Miss. Thamine",Female,21.5,1,0,2665,14.45,Unknown,C,0,Miss
242,1,3,"Murphy, Miss. Katherine ""Kate""",Female,21.5,1,0,367230,15.5,Unknown,Q,0,Miss
