order_id,order_date,customer_id,customer_name,age,gender,region,city,product_category,product_name,quantity,unit_price,discount_pct,sales_amount,profit,shipping_cost,payment_method,customer_satisfaction,return_flag,order_status,days_to_ship,year,month,year_month,quarter,day_of_week,age_group,profit_margin_pct
ORD-03524,2024-03-10,CUST50623,Deepa Mehta,30,Female,South,Kochi,Furniture,Chair,10,12138.87,0.15,103180.4,50995.28,49.93,EMI,3.0,False,Delivered,1,2024,3,2024-03,2024Q1,Sunday,26-35,49.42
ORD-01814,2022-03-14,CUST08792,Rahul Gupta,26,Male,South,Bangalore,Clothing,Dress,10,1706.05,0.04,16378.08,6453.4,89.15,UPI,5.0,False,Delivered,4,2022,3,2022-03,2022Q1,Monday,26-35,39.4
ORD-04171,2024-12-17,CUST15084,Nikhil Mishra,43,Male,South,Kochi,Clothing,Jacket,5,3006.52,0.12,13228.69,4837.79,75.97,Credit Card,1.0,False,Delivered,5,2024,12,2024-12,2024Q4,Tuesday,36-50,36.57
ORD-00049,2020-01-19,CUST43401,Sanjay Bose,21,Other,North,Delhi,Furniture,Sofa,3,34890.63,0.29,74317.04,18067.63,40.97,Net Banking,5.0,False,Shipped,3,2020,1,2020-01,2020Q1,Sunday,18-25,24.31
ORD-01978,2022-05-24,CUST43165,Kavya Kumar,15,Other,South,Chennai,Electronics,Headphones,7,48577.53,0.07,316239.72,36816.91,57.45,EMI,2.0,False,Delivered,4,2022,5,2022-05,2022Q2,Tuesday,18-25,11.64
ORD-00968,2021-03-17,CUST41573,Sanjay Mishra,35,Female,South,Kochi,Sports,Dumbbells,8,7643.4,0.09,55643.95,10099.62,65.76,Credit Card,3.0,False,Delivered,8,2021,3,2021-03,2021Q1,Wednesday,26-35,18.15
ORD-02727,2023-03-28,CUST68233,Rahul Joshi,22,Female,Central,Nagpur,Books,Comic Book,6,1467.54,0.29,6251.72,3606.99,50.88,UPI,3.0,False,Delivered,4,2023,3,2023-03,2023Q1,Tuesday,18-25,57.7
ORD-02986,2023-07-17,CUST62795,Arjun Chatterjee,30,Male,South,Bangalore,Books,Self-Help Book,5,478.05,0.02,2342.45,290.9,63.7,Cash on Delivery,2.0,False,Delivered,7,2023,7,2023-07,2023Q3,Monday,26-35,12.42
ORD-04158,2024-12-10,CUST75042,Pooja Verma,44,Female,Central,Nagpur,Books,Self-Help Book,7,612.7,0.22,3345.34,991.03,55.8,Credit Card,5.0,False,Delivered,4,2024,12,2024-12,2024Q4,Tuesday,36-50,29.62
ORD-01473,2021-10-25,CUST33809,Sanjay Reddy,31,Other,West,Surat,Groceries,Cooking Oil,2,233.12,0.28,335.69,21.37,57.3,Cash on Delivery,3.0,False,Delivered,7,2021,10,2021-10,2021Q4,Monday,26-35,6.37
ORD-03795,2024-07-07,CUST28954,Nikhil Bose,35,Female,Central,Bhopal,Clothing,T-Shirt,2,735.25,0.03,1426.38,795.65,74.95,UPI,5.0,False,Delivered,8,2024,7,2024-07,2024Q3,Sunday,26-35,55.78
ORD-01275,2021-07-28,CUST94413,Rahul Gupta,35,Male,Central,Indore,Electronics,Laptop,9,63147.82,0.14,488764.13,86070.79,60.5,Cash on Delivery,4.0,True,Returned,3,2021,7,2021-07,2021Q3,Wednesday,26-35,17.61
ORD-00412,2020-07-01,CUST88814,Rahul Kapoor,51,Other,West,Ahmedabad,Books,Comic Book,8,635.66,0.34,3356.28,1269.07,67.01,Cash on Delivery,1.0,False,Delivered,3,2020,7,2020-07,2020Q3,Wednesday,51-65,37.81
ORD-01848,2022-03-29,CUST43339,Arjun Pillai,28,Male,South,Kochi,Sports,Cricket Bat,7,6478.95,0.22,35375.07,8443.99,69.59,EMI,1.0,False,Delivered,2,2022,3,2022-03,2022Q1,Tuesday,26-35,23.87
ORD-02684,2023-03-10,CUST32875,Kavya Patel,41,Male,South,Kochi,Beauty,Hair Oil,3,1290.21,0.12,3406.15,1777.76,64.97,Cash on Delivery,3.0,False,Delivered,5,2023,3,2023-03,2023Q1,Friday,36-50,52.19
ORD-00936,2021-02-27,CUST82575,Kavya Pillai,29,Female,Central,Nagpur,Furniture,Bookshelf,1,33537.06,0.25,25152.8,5814.79,56.47,Debit Card,4.0,False,Delivered,2,2021,2,2021-02,2021Q1,Saturday,26-35,23.12
ORD-03422,2024-01-23,CUST58923,Deepa Pillai,20,Male,East,Guwahati,Electronics,Headphones,3,64874.09,0.02,190729.82,20320.94,79.56,UPI,1.0,False,Delivered,7,2024,1,2024-01,2024Q1,Tuesday,18-25,10.65
ORD-01505,2021-11-06,CUST41623,Vikram Pillai,65,Other,North,Chandigarh,Books,Comic Book,4,1350.95,0.21,4269.0,1854.28,44.83,Credit Card,3.0,False,Delivered,2,2021,11,2021-11,2021Q4,Saturday,51-65,43.44
ORD-04045,2024-10-22,CUST10094,Rahul Sharma,26,Other,North,Amritsar,Electronics,Camera,3,68799.42,0.07,191950.38,36091.77,48.01,UPI,1.0,False,delivered,7,2024,10,2024-10,2024Q4,Tuesday,26-35,18.8
ORD-02565,2023-01-17,CUST71120,Ritu Nair,35,Male,North,Amritsar,Furniture,Sofa,3,31242.32,0.01,92789.69,27403.47,52.73,Debit Card,3.0,True,Returned,4,2023,1,2023-01,2023Q1,Tuesday,26-35,29.53
ORD-02031,2022-06-14,CUST13864,Amit Kumar,30,Other,Central,Bhopal,Books,Comic Book,5,1431.29,0.04,6870.19,819.7,70.38,Credit Card,5.0,True,Returned,8,2022,6,2022-06,2022Q2,Tuesday,26-35,11.93
ORD-03773,2024-06-30,CUST34644,Ananya Patel,27,Male,South,Bangalore,Clothing,Jeans,3,1621.83,0.4,2919.29,1799.06,67.23,Credit Card,2.0,False,Delivered,4,2024,6,2024-06,2024Q2,Sunday,26-35,61.63
ORD-00025,2020-01-10,CUST91373,Karan Iyer,52,Female,West,Mumbai,Books,Cook Book,10,324.41,0.32,2205.99,903.99,48.24,UPI,3.0,False,Delivered,4,2020,1,2020-01,2020Q1,Friday,51-65,40.98
ORD-02868,2023-05-31,CUST17518,Sanjay Shah,42,Female,Central,Indore,Furniture,Wardrobe,6,20242.36,0.04,116595.99,59116.34,83.75,Credit Card,2.0,False,Delivered,9,2023,5,2023-05,2023Q2,Wednesday,36-50,50.7
ORD-01993,2022-05-30,CUST20457,Vikram Kumar,40,Other,North,Ludhiana,Sports,Tennis Racket,9,14422.23,0.21,102542.06,40739.98,58.92,EMI,5.0,False,Delivered,1,2022,5,2022-05,2022Q2,Monday,36-50,39.73
ORD-00415,2020-07-01,CUST39948,Nikhil Kapoor,35,Female,North,Chandigarh,Furniture,Desk,2,33115.91,0.28,47686.91,13232.77,39.83,EMI,5.0,False,Delivered,1,2020,7,2020-07,2020Q3,Wednesday,26-35,27.75
ORD-02867,2023-05-31,CUST70575,Aditya Reddy,49,Female,North,Amritsar,Sports,Cricket Bat,8,3917.74,0.27,22879.6,11271.87,60.71,Cash on Delivery,3.0,False,Delivered,8,2023,5,2023-05,2023Q2,Wednesday,36-50,49.27
ORD-00757,2020-12-09,CUST29818,Meera Gupta,35,Female,South,Kochi,Furniture,Bookshelf,4,11267.5,0.2,36056.0,7321.53,70.73,UPI,4.0,False,Delivered,1,2020,12,2020-12,2020Q4,Wednesday,26-35,20.31
ORD-03357,2023-12-23,CUST53286,Kavya Verma,34,Male,East,Patna,Beauty,Face Cream,5,2497.1,0.37,7865.86,2649.2,61.27,Cash on Delivery,1.0,False,Shipped,5,2023,12,2023-12,2023Q4,Saturday,26-35,33.68
ORD-02282,2022-09-18,CUST94046,Ananya Nair,38,Other,Central,Raipur,Electronics,Camera,5,11463.02,0.34,37827.97,3355.55,36.32,Cash on Delivery,5.0,False,Delivered,10,2022,9,2022-09,2022Q3,Sunday,36-50,8.87
ORD-00707,2020-11-16,CUST43806,Nikhil Reddy,36,Female,North,Ludhiana,Clothing,Jeans,2,1557.26,0.13,2709.63,840.29,50.66,EMI,2.0,False,Delivered,10,2020,11,2020-11,2020Q4,Monday,36-50,31.01
ORD-01870,2022-04-05,CUST73941,Aditya Mehta,48,Male,East,Bhubaneswar,Groceries,Cooking Oil,2,393.55,0.02,771.36,87.14,87.03,Debit Card,1.0,False,Delivered,1,2022,4,2022-04,2022Q2,Tuesday,36-50,11.3
ORD-01047,2021-04-20,CUST61067,Meera Chatterjee,34,Female,North,Ludhiana,Sports,Football,5,8244.31,0.12,36274.96,13744.26,51.59,Cash on Delivery,1.0,False,Delivered,4,2021,4,2021-04,2021Q2,Tuesday,26-35,37.89
ORD-01968,2022-05-20,CUST46310,Sanjay Kapoor,28,Male,East,Guwahati,Books,Comic Book,5,1063.62,0.16,4467.2,2963.48,62.28,UPI,3.0,False,Delivered,5,2022,5,2022-05,2022Q2,Friday,26-35,66.34
ORD-03033,2023-08-05,CUST52453,Vikram Shah,34,Other,North,Amritsar,Groceries,Sugar,7,315.62,0.28,1590.72,104.43,72.63,Credit Card,5.0,False,Delivered,7,2023,8,2023-08,2023Q3,Saturday,26-35,6.56
ORD-02831,2023-05-17,CUST55922,Aditya Pillai,51,Female,West,Ahmedabad,Beauty,Lipstick,1,697.15,0.18,571.66,335.66,48.84,Debit Card,3.0,False,Pending,10,2023,5,2023-05,2023Q2,Wednesday,51-65,58.72
ORD-00489,2020-08-03,CUST85726,Ritu Verma,34,Male,Central,Raipur,Electronics,Tablet,2,52363.15,0.25,78544.73,14474.33,45.26,Net Banking,2.0,False,Pending,9,2020,8,2020-08,2020Q3,Monday,26-35,18.43
ORD-00364,2020-06-04,CUST12024,Shreya Kumar,37,Male,West,Surat,Sports,Football,3,2684.91,0.15,6846.52,2543.29,67.28,Net Banking,2.0,False,Delivered,9,2020,6,2020-06,2020Q2,Thursday,36-50,37.15
ORD-03081,2023-08-22,CUST01739,Rohan Nair,42,Female,North,Amritsar,Books,Fiction Novel,4,889.6,0.36,2277.38,1076.91,58.16,Credit Card,3.0,True,Returned,3,2023,8,2023-08,2023Q3,Tuesday,36-50,47.29
ORD-00357,2020-06-02,CUST75375,Priya Joshi,41,Female,Central,Nagpur,Clothing,Jeans,2,1548.43,0.38,1920.05,866.5,49.01,EMI,1.0,False,Delivered,6,2020,6,2020-06,2020Q2,Tuesday,36-50,45.13
ORD-03752,2024-06-22,CUST35687,Deepa Nair,42,Other,West,Surat,Books,Comic Book,1,787.78,0.15,669.61,520.99,47.1,Credit Card,2.0,False,Delivered,9,2024,6,2024-06,2024Q2,Saturday,36-50,77.8
ORD-00117,2020-02-12,CUST33188,Sanjay Joshi,48,Female,South,Kochi,Sports,Cycle,3,6047.51,0.08,16691.13,2741.49,36.15,Debit Card,4.0,False,Delivered,3,2020,2,2020-02,2020Q1,Wednesday,36-50,16.42
ORD-01273,2021-07-28,CUST00699,Shreya Nair,51,Female,West,Pune,Books,Textbook,5,1490.57,0.13,6483.98,922.64,65.57,EMI,1.0,False,Delivered,7,2021,7,2021-07,2021Q3,Wednesday,51-65,14.23
ORD-01912,2022-04-25,CUST02114,Ananya Verma,35,Male,South,Chennai,Clothing,T-Shirt,2,1244.43,0.23,1916.42,1061.94,75.05,Net Banking,5.0,False,Delivered,2,2022,4,2022-04,2022Q2,Monday,26-35,55.41
ORD-02247,2022-09-07,CUST68290,Karan Kapoor,38,Other,North,Chandigarh,Furniture,Chair,2,22082.21,0.0,44164.42,9844.24,70.14,Debit Card,1.0,False,Pending,7,2022,9,2022-09,2022Q3,Wednesday,36-50,22.29
ORD-00966,2021-03-17,CUST15832,Aarav Pillai,22,Other,East,Kolkata,Electronics,Laptop,4,11157.11,0.38,27669.63,3797.24,55.14,Credit Card,1.0,True,Returned,8,2021,3,2021-03,2021Q1,Wednesday,18-25,13.72
ORD-00879,2021-02-02,CUST52790,Deepa Pillai,17,Other,East,Kolkata,Books,Comic Book,7,914.96,0.36,4099.02,1423.3,77.84,UPI,3.0,False,Delivered,5,2021,2,2021-02,2021Q1,Tuesday,18-25,34.72
ORD-01339,2021-08-24,CUST94587,Aditya Gupta,32,Male,North,Chandigarh,Clothing,Jacket,5,1008.19,0.27,3679.89,1377.84,53.22,UPI,1.0,False,Delivered,4,2021,8,2021-08,2021Q3,Tuesday,26-35,37.44
ORD-03248,2023-11-04,CUST43818,Arjun Bhat,30,Male,South,Kochi,Clothing,Saree,7,2102.17,0.13,12802.22,3358.13,62.02,Net Banking,3.0,False,Shipped,8,2023,11,2023-11,2023Q4,Saturday,26-35,26.23
ORD-00099,2020-02-08,CUST15599,Karan Shah,33,Other,West,Pune,Furniture,Chair,9,22687.65,0.33,136806.53,33050.92,45.04,Net Banking,3.0,False,Delivered,2,2020,2,2020-02,2020Q1,Saturday,26-35,24.16
ORD-00849,2021-01-21,CUST59483,Nisha Shah,26,Other,North,Ludhiana,Electronics,Smartwatch,10,57148.46,0.06,537195.52,48368.13,33.07,EMI,1.0,True,Returned,6,2021,1,2021-01,2021Q1,Thursday,26-35,9.0
ORD-02850,2023-05-26,CUST30753,Deepa Chatterjee,28,Male,North,Chandigarh,Furniture,Bookshelf,5,5493.74,0.2,21974.96,1809.32,49.0,Credit Card,1.0,False,Delivered,5,2023,5,2023-05,2023Q2,Friday,26-35,8.23
ORD-03177,2023-10-05,CUST99258,Ananya Joshi,45,Other,Central,Raipur,Furniture,Sofa,2,7616.64,0.34,10053.96,3661.21,29.23,Net Banking,4.0,False,Delivered,1,2023,10,2023-10,2023Q4,Thursday,36-50,36.42
ORD-02058,2022-06-27,CUST44617,Nikhil Reddy,21,Other,South,Bangalore,Furniture,Desk,8,3549.62,0.22,22149.63,10062.41,77.82,EMI,5.0,True,Returned,5,2022,6,2022-06,2022Q2,Monday,18-25,45.43
ORD-03092,2023-08-29,CUST21970,Rahul Verma,35,Other,East,Bhubaneswar,Electronics,Headphones,3,15632.25,0.34,30951.85,4132.26,65.5,UPI,5.0,False,Delivered,1,2023,8,2023-08,2023Q3,Tuesday,26-35,13.35
ORD-02241,2022-09-04,CUST64655,Kavya Patel,21,Female,East,Guwahati,Electronics,Headphones,4,41499.34,0.0,165997.36,19809.16,73.44,Debit Card,4.0,False,Shipped,1,2022,9,2022-09,2022Q3,Sunday,18-25,11.93
ORD-01278,2021-07-31,CUST65126,Arjun Mishra,48,Other,East,Bhubaneswar,Clothing,Kurta,5,3288.5,0.01,16278.08,1513.25,103.27,Cash on Delivery,3.0,False,Delivered,4,2021,7,2021-07,2021Q3,Saturday,36-50,9.3
ORD-03281,2023-11-17,CUST21469,Shreya Nair,43,Other,North,Amritsar,Sports,Football,4,3010.43,0.27,8790.46,1584.03,51.24,Cash on Delivery,3.0,False,Delivered,6,2023,11,2023-11,2023Q4,Friday,36-50,18.02
ORD-00011,2020-01-03,CUST64950,Nisha Mehta,23,Female,South,Hyderabad,Furniture,Sofa,8,22523.15,0.34,118922.23,29818.97,65.72,EMI,2.0,False,Delivered,5,2020,1,2020-01,2020Q1,Friday,18-25,25.07
ORD-00058,2020-01-22,CUST60127,Ritu Kapoor,16,Other,South,Bangalore,Books,Textbook,4,363.32,0.07,1351.55,410.28,89.93,EMI,5.0,False,Shipped,5,2020,1,2020-01,2020Q1,Wednesday,18-25,30.36
ORD-02876,2023-06-02,CUST23195,Aditya Sharma,34,f,West,Surat,Furniture,Wardrobe,3,31229.73,0.32,63708.65,34252.99,53.79,EMI,5.0,False,Pending,3,2023,6,2023-06,2023Q2,Friday,26-35,53.77
ORD-02210,2022-08-21,CUST53700,Ananya Shah,49,Female,South,Chennai,Furniture,Chair,3,25395.64,0.3,53330.84,28762.52,86.28,UPI,4.0,False,Delivered,5,2022,8,2022-08,2022Q3,Sunday,36-50,53.93
ORD-01057,2021-04-22,CUST83911,Aditya Das,27,Male,North,Chandigarh,Groceries,Dal (1kg),3,457.68,0.26,1016.05,84.35,72.86,Cash on Delivery,3.0,False,delivered,2,2021,4,2021-04,2021Q2,Thursday,26-35,8.3
ORD-02900,2023-06-07,CUST23268,Deepa Das,31,Female,South,Chennai,Books,Self-Help Book,1,715.84,0.24,544.04,470.99,59.5,Credit Card,2.0,False,Delivered,4,2023,6,2023-06,2023Q2,Wednesday,26-35,86.57
ORD-04048,2024-10-23,CUST20477,Sanjay Verma,35,Female,East,Guwahati,Sports,Football,4,9803.0,0.33,26272.04,6215.4,88.57,UPI,4.0,False,Cancelled,6,2024,10,2024-10,2024Q4,Wednesday,26-35,23.66
ORD-00402,2020-06-21,CUST55018,Vikram Nair,37,Other,South,Chennai,Electronics,Headphones,5,28892.57,0.07,134350.45,25286.68,84.72,Debit Card,5.0,False,Delivered,6,2020,6,2020-06,2020Q2,Sunday,36-50,18.82
ORD-01747,2022-02-14,CUST14531,Meera Gupta,27,Male,North,Ludhiana,Furniture,Wardrobe,9,14001.85,0.05,119715.82,40660.47,55.44,UPI,1.0,True,Returned,1,2022,2,2022-02,2022Q1,Monday,26-35,33.96
ORD-00593,2020-09-22,CUST21963,Priya Bhat,38,Other,Central,Bhopal,Furniture,Wardrobe,8,30292.85,0.29,172063.39,45465.04,51.64,EMI,3.0,False,Delivered,5,2020,9,2020-09,2020Q3,Tuesday,36-50,26.42
ORD-04017,2024-10-03,CUST02198,Meera Singh,34,Male,East,Kolkata,Sports,Tennis Racket,2,2854.89,0.06,5367.19,1203.75,86.84,UPI,3.0,False,Delivered,9,2024,10,2024-10,2024Q4,Thursday,26-35,22.43
ORD-02956,2023-07-04,CUST64061,Rohan Pillai,35,Other,South,Chennai,Clothing,T-Shirt,9,1340.2,0.38,7478.32,3852.39,105.03,Cash on Delivery,3.0,False,Cancelled,4,2023,7,2023-07,2023Q3,Tuesday,26-35,51.51
ORD-00634,2020-10-11,CUST01277,Sanjay Iyer,22,Female,West,Surat,Furniture,Bookshelf,7,34455.92,0.28,173657.84,39164.43,54.2,Debit Card,3.0,False,Delivered,7,2020,10,2020-10,2020Q4,Sunday,18-25,22.55
ORD-03084,2023-08-25,CUST97761,Rahul Verma,25,Female,East,Bhubaneswar,Books,Self-Help Book,10,755.47,0.04,7252.51,4011.83,94.06,Credit Card,3.0,False,Cancelled,5,2023,8,2023-08,2023Q3,Friday,18-25,55.32
ORD-01699,2022-01-28,CUST22943,Nisha Shah,42,Male,North,Amritsar,Sports,Tennis Racket,10,6054.48,0.06,56912.11,9832.73,59.24,Credit Card,1.0,True,Returned,6,2022,1,2022-01,2022Q1,Friday,36-50,17.28
ORD-01353,2021-09-01,CUST45393,Shreya Reddy,42,Male,South,Hyderabad,Furniture,Desk,10,8753.12,0.28,63022.46,17930.25,87.75,EMI,5.0,False,Delivered,8,2021,9,2021-09,2021Q3,Wednesday,36-50,28.45
ORD-02391,2022-11-01,CUST63245,Ananya Verma,29,Male,Central,Indore,Books,Textbook,4,1320.32,0.01,5228.47,950.65,39.09,Debit Card,3.0,False,Delivered,5,2022,11,2022-11,2022Q4,Tuesday,26-35,18.18
ORD-03692,2024-05-22,CUST93738,Rohan Gupta,35,Male,North,Delhi,Groceries,Dal (1kg),5,309.97,0.04,1487.86,214.05,37.34,Cash on Delivery,5.0,False,Shipped,4,2024,5,2024-05,2024Q2,Wednesday,26-35,14.39
ORD-01385,2021-09-18,CUST85642,Priya Singh,42,Other,East,Kolkata,Sports,Cricket Bat,8,12223.45,0.4,58672.56,10563.05,68.51,Net Banking,4.0,False,delivered,7,2021,9,2021-09,2021Q3,Saturday,36-50,18.0
ORD-02434,2022-11-20,CUST85190,Nikhil Patel,45,Other,West,Surat,Electronics,Tablet,4,73017.83,0.22,227815.63,23288.67,32.14,Credit Card,3.0,False,Delivered,8,2022,11,2022-11,2022Q4,Sunday,36-50,10.22
ORD-00158,2020-03-07,CUST56042,Deepa Rao,35,Female,East,Bhubaneswar,Furniture,Desk,8,25624.31,0.12,180395.14,45753.79,65.63,Credit Card,1.0,False,Delivered,3,2020,3,2020-03,2020Q1,Saturday,26-35,25.36
ORD-00857,2021-01-25,CUST59535,Vikram Gupta,49,male,Central,Nagpur,Beauty,Hair Oil,4,521.44,0.14,1793.75,492.45,50.42,UPI,1.0,False,Pending,10,2021,1,2021-01,2021Q1,Monday,36-50,27.45
ORD-03406,2024-01-15,CUST62905,Vikram Iyer,41,Other,Central,Raipur,Clothing,Saree,6,3871.22,0.33,15562.3,5072.13,43.12,Debit Card,4.0,False,Delivered,3,2024,1,2024-01,2024Q1,Monday,36-50,32.59
ORD-02843,2023-05-24,CUST04791,Rahul Verma,24,Other,West,Mumbai,Books,Self-Help Book,8,579.77,0.36,2968.42,2230.94,42.6,Debit Card,3.0,False,Delivered,7,2023,5,2023-05,2023Q2,Wednesday,18-25,75.16
ORD-01087,2021-05-06,CUST29357,Meera Nair,33,Other,West,Pune,Books,Textbook,7,1042.98,0.3,5110.6,2589.16,61.15,Debit Card,2.0,True,Returned,4,2021,5,2021-05,2021Q2,Thursday,26-35,50.66
ORD-00943,2021-03-02,CUST48937,Nisha Iyer,35,Female,Central,Indore,Clothing,Jeans,3,3314.25,0.1,8948.48,3783.0,52.17,UPI,3.0,False,Shipped,8,2021,3,2021-03,2021Q1,Tuesday,26-35,42.28
ORD-03731,2024-06-15,CUST46976,Nikhil Sharma,35,Male,East,Patna,Electronics,Tablet,3,48747.69,0.29,103832.58,22319.7,42.24,Net Banking,5.0,False,Delivered,6,2024,6,2024-06,2024Q2,Saturday,26-35,21.5
ORD-02485,2022-12-14,CUST69585,Sunita Joshi,35,Male,West,Ahmedabad,Books,Cook Book,9,1471.74,0.05,12583.38,5411.76,50.89,Cash on Delivery,4.0,False,Delivered,7,2022,12,2022-12,2022Q4,Wednesday,26-35,43.01
ORD-02773,2023-04-16,CUST69945,Rahul Das,36,Male,West,Surat,Electronics,Laptop,8,27632.84,0.08,203377.7,33436.12,20.29,Net Banking,3.0,False,Delivered,7,2023,4,2023-04,2023Q2,Sunday,36-50,16.44
ORD-01093,2021-05-08,CUST80149,Pooja Mishra,37,Other,West,Mumbai,Sports,Cycle,7,11542.97,0.16,67872.66,24424.83,53.27,EMI,1.0,True,Returned,7,2021,5,2021-05,2021Q2,Saturday,36-50,35.99
ORD-03804,2024-07-12,CUST42902,Rahul Kumar,50,Other,South,Hyderabad,Groceries,Sugar,5,84.21,0.13,366.31,8.9,47.91,Cash on Delivery,4.0,False,Delivered,2,2024,7,2024-07,2024Q3,Friday,36-50,2.43
ORD-02873,2023-06-01,CUST07917,Nikhil Nair,34,Male,East,Guwahati,Sports,Football,6,5611.57,0.2,26935.54,6107.6,97.42,Credit Card,5.0,False,Delivered,2,2023,6,2023-06,2023Q2,Thursday,26-35,22.67
ORD-03342,2023-12-16,CUST26677,Rahul Chatterjee,45,Female,Central,Raipur,Groceries,Tea,9,312.53,0.35,1828.3,155.73,48.28,Cash on Delivery,4.0,False,Shipped,5,2023,12,2023-12,2023Q4,Saturday,36-50,8.52
ORD-04177,2024-12-21,CUST44560,Amit Verma,49,female,South,Bangalore,Sports,Dumbbells,2,13057.02,0.35,16974.13,3578.76,69.31,Credit Card,5.0,False,Delivered,10,2024,12,2024-12,2024Q4,Saturday,36-50,21.08
ORD-02805,2023-05-01,CUST85937,Deepa Verma,31,Male,South,Hyderabad,Clothing,Saree,7,3482.32,0.35,15844.56,8716.81,68.92,UPI,4.0,False,Delivered,7,2023,5,2023-05,2023Q2,Monday,26-35,55.01
ORD-00918,2021-02-17,CUST67405,Meera Pillai,48,Male,Central,Indore,Sports,Cycle,3,11359.59,0.01,33737.98,7374.96,41.65,Debit Card,1.0,False,Delivered,8,2021,2,2021-02,2021Q1,Wednesday,36-50,21.86
ORD-00759,2020-12-10,CUST23197,Amit Patel,28,Other,Central,Nagpur,Sports,Tennis Racket,5,5242.77,0.31,18087.56,2992.91,74.58,EMI,1.0,True,Returned,5,2020,12,2020-12,2020Q4,Thursday,26-35,16.55
ORD-00086,2020-02-03,CUST63884,Amit Das,29,Female,West,Ahmedabad,Furniture,Chair,10,9468.07,0.32,64382.88,15202.22,40.98,EMI,3.0,False,Delivered,2,2020,2,2020-02,2020Q1,Monday,26-35,23.61
